cuenta|descri|cta_raiz|cta_niv3|cn_nivel|||
1000000000|ACTIVOS|1000000000||1|||
1100000000|ACTIVOS CORRIENTES|1100000000||2|||
1110000000|EFECTIVO Y/O SU EQUIVALENTE|1100000000|1110000000|3|||
1110010000|CAJA MONEDA NACIONAL|1100000000|1110000000|4|||
1110010100|CAJA MONEDA NACIONAL|1100000000|1110000000|5|||
1110010200|CAJA MONEDA NACIONAL LABORATORIO|1100000000|1110000000|5|||
1110020000|CAJA MONEDA EXTRANJERA |1100000000|1110000000|4|||
1110020100|CAJA MONEDA EXTRANJERA |1100000000|1110000000|5|||
1110030000|CAJA CHICA |1100000000|1110000000|4|||
1110030100|CAJA CHICA MONEDA NACIONAL|1100000000|1110000000|5|||
1110040000|BANCOS|1100000000|1110000000|4|||
1110040100|BANCOS MONEDA NACIONAL|1100000000|1110000000|5|||
1110040101|BANCO UNION CTA. CTE MN  N. 1-52298813|1110040100|1110000000|6|||
1110040102|BANCO GANADERO CTA. CTE MN N. 1311415372|1100000000|1110000000|6|||
1110040103|BANCO FORTALEZA CTA. CTE MN N. 3041005348|1100000000|1110000000|6|||
1110040104|BANCO BISA CTA CTE MN N. 707330015|1100000000|1110000000|6|||
1110040105|BANCO MERCANTIL SANTA CRUZ CTA CTE MN N. 4011117301|1110040100|1110000000|6|||
1110040200|BANCOS MONEDA EXTRANJERA|1100000000|1110000000|5|||
1110040201|BANCO UNION CTA. CTE ME|1100000000|1110000000|6|||
1110040202|BANCO GANADERO CTA. CTE. ME-EUROS -1311565296|1100000000|1110000000|6|||
1110050000|DEPOSITOS A PLAZO FIJO MN|1100000000|1110000000|4|||
1110050100|.|1100000000|1110000000|5|||
1110060000|INVERSIONES A VALOR RAZONABLE|1100000000|1110000000|4|||
1110060100|INVERSIONES TEMPORALES|1100000000|1110000000|5|||
1120000000|EXIGIBLES|1100000000|1120000000|3|||
1120010000|CUENTAS POR COBRAR MN|1100000000|1120000000|4|||
1120010100|CUENTAS POR COBRAR MN|1100000000|1120000000|5|||
1120010200|CUENTAS POR COBRAR COMERCIALES|1100000000|1120000000|5|||
1120010300|FACTURAS POR COBRAR COMERCIALES |1100000000|1120000000|5|||
1120020000|CUENTAS POR COBRAR A EMPRESAS RELACIONADAS|1100000000|1120000000|4|||
1120020100|CUENTAS POR COBRAR EXSMECON|1100000000|1120000000|5|||
1120030000|DOCUMENTOS POR COBRAR|1100000000|1120000000|4|||
1120030100|DOCUMENTOS POR COBRAR|1100000000|1120000000|5|||
1120030200|DOCUMENTOS POR COBRAR COMERCIALES|1100000000|1120000000|5|||
1120030300|DOCUMENTOS  POR COBRAR A EMPRESAS RELACIONADAS|1100000000|1120000000|5|||
1120040000|COBRANZA DUDOSA |1100000000|1120000000|4|||
1120050000|CUENTAS POR COBRAR AL PERSONAL, ACCIONISTAS, SOCIOS Y OTROS|1100000000|1120000000|4|||
1120050100|FONDOS A RENDIR |1100000000|1120000000|5|||
1120050200|FONDOS A RENDIR GERENTES|1100000000|1120000000|5|||
1120050300|ANTICIPO DE SUELDOS |1100000000|1120000000|5|||
1120050301|ANTICIPO DE SUELDOS |1100000000|1120000000|6|||
1120050302|ANTICIPO PERSONAL EVENTUAL|1100000000|1120000000|6|||
1120050400|INTERESES POR COBRAR|1100000000|1120000000|5|||
1120060000|OTRAS CUENTAS POR COBRAR, IMPUESTOS A COMPENSAR  Y DIFERIDOS|1100000000|1120000000|4|||
1120060100|ANTICIPO A PROVEEDORES|1100000000|1120000000|5|||
1120060101|ANTICIPO A PROVEEDORES DE BIENES |1100000000|1120000000|6|||
1120060102|ANTICIPO A PROVEEDORES DE SERVICIOS |1100000000|1120000000|6|||
1120060103|ANTICIPO A PROVEEDORES DE EMPRESAS RELACIONADAS|1100000000|1120000000|6|||
1120060104|ANTICIPOS A SUB CONTRATISTAS |1100000000|1120000000|6|||
1120060105|ANTICIPO A PROVEEDORES|1100000000|1120000000|6|||
1120060200|PROVISION PARA CUENTAS INCOBRABLES|1100000000|1120000000|5|||
1120060300|CREDITO FISCAL IVA|1100000000|1120000000|5|||
1120060301|CREDITO FISCAL IVA|1100000000|1120000000|6|||
1120060400|IMPUESTOS POR RECUPERAR|1100000000|1120000000|5|||
1120060500|CREDITO FISCAL POR RECUPERAR|1100000000|1120000000|5|||
1120060600|PAGOS ANTICIPADOS|1100000000|1120000000|5|||
1120060601|PAGOS ANTICIPADOS|1100000000|1120000000|6|||
1120070000|OTROS ACTIVOS|1100000000|1120000000|4|||
1120070100|CUENTAS POR COBRAR A LARGO PLAZO|1100000000|1120000000|5|||
1120070101|CUENTAS COMERCIALES POR COBRAR A LARGO PLAZO|1100000000|1120000000|6|||
1130000000|INVENTARIOS|1100000000|1130000000|3|||
1130010000|ALMACEN  DE MATERIA PRIMA|1100000000|1130000000|4|||
1130010100|ALMACEN  DE MATERIA PRIMA|1100000000|1130000000|5|||
1130020000|INVENTARIO EN TRANSITO|1100000000|1130000000|4|||
1130020100|INVENTARIO EN TRANSITO|1100000000|1130000000|5|||
1130030000|ALMACEN DE PRODUCTOS EN PROCESO|1100000000|1130000000|4|||
1130030100|ALMACEN DE PRODUCTOS EN PROCESO|1100000000|1130000000|5|||
1130040000|ALMACEN DE PRODUCTOS TERMINADOS|1100000000|1130000000|4|||
1130040100|ALMACEN DE PRODUCTOS TERMINADOS|1100000000|1130000000|5|||
1130050000|PROVISION PARA OBSOLESCENCIAS|1100000000|1130000000|4|||
