cuenta,descri,cta_niv3_actual,cta_niv3_correcta,cn_nivel,tipo_error
3210000000,APORTES POR CAPITALIZAR,3110000000,3210000000,3,VALOR_INCORRECTO
3310000000,RESERVAS POR REVALUOS TECNICOS,3110000000,3310000000,3,VALOR_INCORRECTO
3410000000,RESERVA LEGAL,3110000000,3410000000,3,VALOR_INCORRECTO
3510000000,AJUSTES AL PATRIMONIO,3110000000,3510000000,3,VALOR_INCORRECTO
3610000000,AJUSTE DE CAPITAL,3110000000,3610000000,3,VALOR_INCORRECTO
3710000000,APORTES NO CAPITALIZABLES,3110000000,3710000000,3,VALOR_INCORRECTO
5210060000,DESCUENTO SOBRE SERVICIOS,,5210000000,4,VALOR_INCORRECTO
5350150000,MATERIALES Y SUMINISTROS,,5350000000,4,VALOR_INCORRECTO
5350150100,MATERIALES Y SUMINISTROS,,5350000000,5,VALOR_INCORRECTO
5350160000,EQUIPO DE PROTECCION ALPERSONAL,,5350000000,4,VALOR_INCORRECTO
5350160100,EQUIPO DE PROTECCION ALPERSONAL,,5350000000,5,VALOR_INCORRECTO
5350160200,ROPA DE TRABAJO ,,5350000000,5,VALOR_INCORRECTO
5350170000,HERRAMIENTAS A CORTO PLAZO,,5350000000,4,VALOR_INCORRECTO
5350170100,HERRAMIENTAS A CORTO PLAZO,,5350000000,5,VALOR_INCORRECTO
5580000000,GESTIONES VETAS,,5580000000,3,VALOR_INCORRECTO
