cuenta,descri,cta_raiz_actual,cta_raiz_correcta,cn_nivel
1110040101,BANCO UNION CTA. CTE MN  N. 1-52298813,1110040100,1100000000,6
1110040105,BANCO MERCANTIL SANTA CRUZ CTA CTE MN N. 4011117301,1110040100,1100000000,6
4150050300,INGRESO POR SERVICIO DE PESAJE EN BALANZA,4150050000,4100000000,5
4150050400,INGRESO POR SERVICIO DE MAQUILADO ,4150050000,4100000000,5
4200000000,INGRESOS EXTRAORDINARIOS,4000000000,4200000000,2
5200000000,COSTO DE VENTAS ,5000000000,5200000000,2
5210010210,FLETES Y TRANSPORTES DE PRODUCTOS TERMINADOS ULEXITA,5210010200,5200000000,6
5210010220,FLETES Y TRANSPORTES DE PRODUCTOS TERMINADOS FORMULADO DE YESO AGRICOLA,5210010200,5200000000,6
5210010230,FLETES Y TRANSPORTES DE PRODUCTOS TERMINADOS ROCA FOSFORICA,5210010200,5200000000,6
5210010240,FLETES Y TRANSPORTES DE PRODUCTOS TERMINADOS YESO AGRICOLA,5210010200,5200000000,6
5210060000,DESCUENTO SOBRE SERVICIOS,5210000000,5200000000,4
5210060100,GASTOS DE ESTADIA EN FRONTERA,5210050000,5200000000,5
5210060200,DESCUENTO SOBRE SERVICIOS,5210060000,5200000000,5
5350170000,HERRAMIENTAS A CORTO PLAZO,5350000000,5300000000,4
5350170100,HERRAMIENTAS A CORTO PLAZO,5350000000,5300000000,5
5560080200,PONTONES TRACTOCAMION,5560080000,5500000000,5
5570030200,IMPUESTO MUNICIPAL A LA PROPIEDAD DE BIENES INMUEBLES,5570030000,5500000000,5
5580010000,GESTIONES EXPLORACION DE NUEVAS VETAS,5580000000,5500000000,4
5580010100,VIATICOS EXPLORACION,5580010000,5500000000,5
5580010200,SOCIALIZACION COMUNARIOS,5580010000,5500000000,5
5580010300,PEAJES EXPLORACIONES,5580010000,5500000000,5
5580010400,HOSPEDAJE EXPLORACIONES,5580010000,5500000000,5
5580010500,COMBUSTIBLE EN EXPLORACIONES,5580010000,5500000000,5
